"Year","Month","DayofMonth","DayOfWeek","DepTime","ArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted"
2011,1,1,6,1400,1500,"AA",428,"N576AA",60,40,-10,0,"IAH","DFW",224,7,13,0,"",0
2011,1,2,7,1401,1501,"AA",428,"N557AA",60,45,-9,1,"IAH","DFW",224,6,9,0,"",0
2011,1,3,1,1352,1502,"AA",428,"N541AA",70,48,-8,-8,"IAH","DFW",224,5,17,0,"",0
2011,1,4,2,1403,1513,"AA",428,"N403AA",70,39,3,3,"IAH","DFW",224,9,22,0,"",0
2011,1,5,3,1405,1507,"AA",428,"N492AA",62,44,-3,5,"IAH","DFW",224,9,9,0,"",0
2011,1,6,4,1359,1503,"AA",428,"N262AA",64,45,-7,-1,"IAH","DFW",224,6,13,0,"",0
2011,1,7,5,1359,1509,"AA",428,"N493AA",70,43,-1,-1,"IAH","DFW",224,12,15,0,"",0
2011,1,8,6,1355,1454,"AA",428,"N477AA",59,40,-16,-5,"IAH","DFW",224,7,12,0,"",0
2011,1,9,7,1443,1554,"AA",428,"N476AA",71,41,44,43,"IAH","DFW",224,8,22,0,"",0
2011,1,10,1,1443,1553,"AA",428,"N504AA",70,45,43,43,"IAH","DFW",224,6,19,0,"",0
2011,1,11,2,1429,1539,"AA",428,"N565AA",70,42,29,29,"IAH","DFW",224,8,20,0,"",0
2011,1,12,3,1419,1515,"AA",428,"N577AA",56,41,5,19,"IAH","DFW",224,4,11,0,"",0
2011,1,13,4,1358,1501,"AA",428,"N476AA",63,44,-9,-2,"IAH","DFW",224,6,13,0,"",0
2011,1,14,5,1357,1504,"AA",428,"N552AA",67,47,-6,-3,"IAH","DFW",224,5,15,0,"",0
2011,1,15,6,1359,1459,"AA",428,"N462AA",60,44,-11,-1,"IAH","DFW",224,6,10,0,"",0
2011,1,16,7,1359,1509,"AA",428,"N555AA",70,41,-1,-1,"IAH","DFW",224,12,17,0,"",0
2011,1,17,1,1530,1634,"AA",428,"N518AA",64,48,84,90,"IAH","DFW",224,8,8,0,"",0
2011,1,18,2,1408,1508,"AA",428,"N507AA",60,42,-2,8,"IAH","DFW",224,7,11,0,"",0
2011,1,19,3,1356,1503,"AA",428,"N523AA",67,46,-7,-4,"IAH","DFW",224,10,11,0,"",0
2011,1,20,4,1507,1622,"AA",428,"N425AA",75,42,72,67,"IAH","DFW",224,9,24,0,"",0
2011,1,21,5,1357,1459,"AA",428,"N251AA",62,47,-11,-3,"IAH","DFW",224,6,9,0,"",0
2011,1,22,6,1355,1456,"AA",428,"N551AA",61,44,-14,-5,"IAH","DFW",224,9,8,0,"",0
2011,1,23,7,1356,1501,"AA",428,"N479AA",65,40,-9,-4,"IAH","DFW",224,7,18,0,"",0
2011,1,24,1,1356,1513,"AA",428,"N531AA",77,43,3,-4,"IAH","DFW",224,6,28,0,"",0
2011,1,25,2,1352,1452,"AA",428,"N561AA",60,40,-18,-8,"IAH","DFW",224,7,13,0,"",0
2011,1,26,3,1353,1455,"AA",428,"N541AA",62,40,-15,-7,"IAH","DFW",224,8,14,0,"",0
2011,1,27,4,1356,1458,"AA",428,"N512AA",62,40,-12,-4,"IAH","DFW",224,12,10,0,"",0
2011,1,28,5,1359,1505,"AA",428,"N4UBAA",66,46,-5,-1,"IAH","DFW",224,8,12,0,"",0
2011,1,29,6,1355,1455,"AA",428,"N491AA",60,46,-15,-5,"IAH","DFW",224,7,7,0,"",0
2011,1,30,7,1359,1456,"AA",428,"N561AA",57,39,-14,-1,"IAH","DFW",224,7,11,0,"",0
2011,1,31,1,1441,1553,"AA",428,"N505AA",72,39,43,41,"IAH","DFW",224,8,25,0,"",0
2011,1,1,6,728,840,"AA",460,"N520AA",72,41,5,8,"IAH","DFW",224,6,25,0,"",0
2011,1,2,7,719,821,"AA",460,"N537AA",62,43,-14,-1,"IAH","DFW",224,9,10,0,"",0
2011,1,3,1,717,834,"AA",460,"N512AA",77,46,-1,-3,"IAH","DFW",224,21,10,0,"",0
2011,1,4,2,714,821,"AA",460,"N478AA",67,46,-14,-6,"IAH","DFW",224,6,15,0,"",0
2011,1,5,3,718,822,"AA",460,"N551AA",64,44,-13,-2,"IAH","DFW",224,7,13,0,"",0
2011,1,6,4,719,821,"AA",460,"N251AA",62,44,-14,-1,"IAH","DFW",224,8,10,0,"",0
2011,1,7,5,711,827,"AA",460,"N478AA",76,42,-8,-9,"IAH","DFW",224,24,10,0,"",0
2011,1,8,6,713,805,"AA",460,"N550AA",52,40,-30,-7,"IAH","DFW",224,3,9,0,"",0
2011,1,9,7,714,829,"AA",460,"N586AA",75,51,-6,-6,"IAH","DFW",224,11,13,0,"",0
2011,1,10,1,715,818,"AA",460,"N587AA",63,44,-17,-5,"IAH","DFW",224,8,11,0,"",0
2011,1,11,2,717,820,"AA",460,"N574AA",63,44,-15,-3,"IAH","DFW",224,7,12,0,"",0
2011,1,12,3,714,814,"AA",460,"N580AA",60,42,-21,-6,"IAH","DFW",224,10,8,0,"",0
2011,1,13,4,722,841,"AA",460,"N586AA",79,49,6,2,"IAH","DFW",224,16,14,0,"",0
2011,1,14,5,715,828,"AA",460,"N468AA",73,47,-7,-5,"IAH","DFW",224,15,11,0,"",0
2011,1,15,6,719,833,"AA",460,"N251AA",74,49,-2,-1,"IAH","DFW",224,12,13,0,"",0
2011,1,16,7,743,843,"AA",460,"N546AA",60,45,8,23,"IAH","DFW",224,5,10,0,"",0
